name,position,average_appearances,average_clean_sheets,average_goals_conceded,average_tackles,average_tackle_success_percentage,average_last_man_tackles,average_blocked_shots,average_interceptions,average_clearances,average_headed_clearance,average_clearances_off_line,average_recoveries,average_duels_won,average_duels_lost,average_successful_50_50s,average_aerial_battles_won,average_aerial_battles_lost,average_own_goals,average_errors_leading_to_goal,average_assists,average_passes,average_passes_per_match,average_big_chances_created,average_crosses,average_cross_accuracy_percentage,average_through_balls,average_accurate_long_balls,average_yellow_cards,average_fouls,average_offsides,average_goals,average_headed_goals,average_goals_with_right_foot,average_goals_with_left_foot,average_hit_woodwork,average_goals_per_match,average_penalties_scored,average_freekicks_scored,average_shots_on_target,average_shooting_accuracy_percentage,average_big_chances_missed,average_saves,average_penalties_saved,average_punches,average_high_claims,average_catches,average_sweeper_clearances,average_throw_outs,average_goal_kicks
Jonjo Shelvey ,Midfielder,31.0,0.0,0.0,37.0,76.0,0.0,20.0,45.0,25.0,11.0,0.0,181.0,81.0,93.0,25.0,12.0,16.0,0.0,0.0,5.0,1473.0,47.52,9.0,116.0,25.0,11.0,167.0,8.0,21.0,1.0,1.0,0.0,1.0,0.0,2.0,0.03,1.0,0.0,16.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oliver Shenton ,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steve Sidwell ,Midfielder,1.0,0.0,0.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gylfi Sigurdsson ,Midfielder,36.0,0.0,0.0,42.0,74.0,0.0,32.0,27.0,15.0,4.0,0.0,132.0,93.0,163.0,24.0,5.0,27.0,0.0,0.0,3.0,1193.0,33.14,7.0,167.0,23.0,13.0,22.0,6.0,26.0,4.0,11.0,1.0,9.0,1.0,3.0,0.31,3.0,2.0,32.0,36.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Silva ,Midfielder,24.0,0.0,0.0,36.0,69.0,0.0,11.0,16.0,3.0,1.0,0.0,122.0,110.0,143.0,31.0,9.0,14.0,0.0,0.0,11.0,1386.0,57.75,5.0,96.0,34.0,11.0,50.0,1.0,19.0,0.0,2.0,0.0,1.0,1.0,1.0,0.08,0.0,0.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moussa Sissoko ,Midfielder,37.0,0.0,0.0,54.0,85.0,0.0,11.0,35.0,36.0,21.0,0.0,225.0,221.0,274.0,83.0,55.0,57.0,0.0,0.0,7.0,1385.0,37.43,10.0,144.0,28.0,6.0,42.0,3.0,50.0,3.0,1.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,12.0,32.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexandre Song ,Midfielder,12.0,0.0,0.0,41.0,78.0,0.0,2.0,12.0,6.0,1.0,0.0,73.0,60.0,54.0,7.0,5.0,2.0,0.0,0.0,0.0,448.0,37.33,0.0,3.0,0.0,1.0,28.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Junior Stanislas ,Midfielder,21.0,0.0,0.0,29.0,55.0,0.0,15.0,18.0,11.0,2.0,0.0,75.0,88.0,102.0,32.0,14.0,29.0,0.0,0.0,2.0,662.0,31.52,5.0,96.0,16.0,4.0,15.0,1.0,11.0,3.0,3.0,1.0,2.0,0.0,2.0,0.14,0.0,0.0,10.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Stewart ,Midfielder,7.0,0.0,0.0,19.0,74.0,0.0,2.0,15.0,14.0,5.0,0.0,39.0,43.0,27.0,3.0,5.0,4.0,0.0,0.0,0.0,450.0,64.29,0.0,1.0,0.0,0.0,20.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mario Suárez ,Midfielder,15.0,0.0,0.0,21.0,86.0,0.0,3.0,18.0,11.0,5.0,0.0,68.0,45.0,54.0,10.0,9.0,12.0,0.0,0.0,0.0,422.0,28.13,0.0,2.0,0.0,1.0,36.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
