name,position,average_appearances,average_clean_sheets,average_goals_conceded,average_tackles,average_tackle_success_percentage,average_last_man_tackles,average_blocked_shots,average_interceptions,average_clearances,average_headed_clearance,average_clearances_off_line,average_recoveries,average_duels_won,average_duels_lost,average_successful_50_50s,average_aerial_battles_won,average_aerial_battles_lost,average_own_goals,average_errors_leading_to_goal,average_assists,average_passes,average_passes_per_match,average_big_chances_created,average_crosses,average_cross_accuracy_percentage,average_through_balls,average_accurate_long_balls,average_yellow_cards,average_fouls,average_offsides,average_goals,average_headed_goals,average_goals_with_right_foot,average_goals_with_left_foot,average_hit_woodwork,average_goals_per_match,average_penalties_scored,average_freekicks_scored,average_shots_on_target,average_shooting_accuracy_percentage,average_big_chances_missed,average_saves,average_penalties_saved,average_punches,average_high_claims,average_catches,average_sweeper_clearances,average_throw_outs,average_goal_kicks
Marc Muniesa ,Defender,15.0,0.0,24.0,28.0,61.0,2.0,0.0,35.0,44.0,21.0,0.0,65.0,53.0,46.0,6.0,11.0,15.0,0.0,0.0,0.0,530.0,35.33,0.0,11.0,18.0,1.0,31.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nacho Monreal ,Defender,37.0,17.0,34.0,80.0,70.0,0.0,1.0,105.0,114.0,50.0,2.0,236.0,205.0,129.0,15.0,69.0,54.0,0.0,0.0,3.0,1844.0,49.84,2.0,99.0,20.0,4.0,38.0,1.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Naughton ,Defender,27.0,4.0,26.0,40.0,65.0,0.0,3.0,48.0,65.0,16.0,0.0,105.0,105.0,103.0,13.0,31.0,28.0,0.0,0.0,3.0,1081.0,40.04,2.0,64.0,19.0,0.0,41.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesús Navas ,Defender,34.0,8.0,22.0,29.0,83.0,0.0,11.0,21.0,11.0,3.0,0.0,130.0,110.0,137.0,48.0,9.0,33.0,0.0,0.0,7.0,1268.0,37.29,6.0,176.0,19.0,7.0,40.0,1.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allan-Roméo Nyom ,Defender,32.0,9.0,34.0,84.0,89.0,0.0,3.0,60.0,70.0,20.0,0.0,187.0,147.0,111.0,27.0,13.0,20.0,0.0,1.0,1.0,860.0,26.88,1.0,85.0,13.0,1.0,58.0,8.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joey O'Brien ,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John O'Shea ,Defender,28.0,1.0,37.0,32.0,63.0,0.0,2.0,39.0,183.0,90.0,0.0,68.0,92.0,44.0,0.0,51.0,17.0,0.0,0.0,0.0,590.0,21.07,1.0,0.0,0.0,0.0,46.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angelo Ogbonna ,Defender,28.0,9.0,32.0,43.0,79.0,0.0,2.0,50.0,161.0,88.0,0.0,116.0,127.0,67.0,8.0,62.0,31.0,0.0,1.0,0.0,945.0,33.75,0.0,1.0,100.0,0.0,78.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jores Okore ,Defender,12.0,3.0,18.0,37.0,65.0,0.0,0.0,28.0,83.0,30.0,1.0,47.0,66.0,36.0,3.0,18.0,16.0,0.0,0.0,0.0,330.0,27.5,0.0,0.0,0.0,0.0,37.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ola Aina ,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
